name;unit;pixelW;pixelH;pixelZ;width;height;channels;frames;slices;nucleus_area;diameter;marge;totalThick;nucleusSlices;totalPlainNucleus;slicesLeft;totalNucNotCorr;totalMitoNotCorr;corrTotaleNuc;sumPxInt0;beyondTh16;sumPxInt16;beyondTh32;sumPxInt32
crop_2021_06_02_LuJeune_MitoSox_L5 - Series002.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;636;80;28;609763619;8802869;206719447;772157;36447630
crop_2021_06_02_LuJeune_MitoSox_L5 - Series003.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;10;1100;3;0;3.002;10;1;0;205;20;0;239388125;4149235;99438797;447356;19616809
crop_2021_06_02_LuJeune_MitoSox_L5 - Series004.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;10;1100;3;0;3.002;10;1;0;207;17;0;249249496;4343058;111928606;588393;30676181
crop_2021_06_02_Lujeune_MitoSox_L6 - Mark_and_Find 001_Position001.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;382;259;19;858438736;23482776;623166628;4795197;191405611
crop_2021_06_02_Lujeune_MitoSox_L6 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;424;94;58;531994222;11054846;268385529;1356543;53186168
crop_2021_06_02_Lujeune_MitoSox_L6 - Mark_and_Find 001_Position003.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;682;64;24;1143532072;28121245;781530655;5282961;261503450
crop_2021_06_02_Lujeune_MitoSox_L6 - Mark_and_Find 001_Position004.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;556;192;33;857816708;19085932;466933970;2226705;92306261
crop_2021_06_02_Lujeune_MitoSox_L6 - Mark_and_Find 001_Position005.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;424;100;27;786851796;19683515;549124560;4624405;201708508
crop_2021_06_02_Lujeune_MitoSox_L6 - Series001.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;601;114;36;961686979;24288514;616547958;3873186;152707434
crop_2021_06_02_Lujeune_MitoSox_L6 - Series002.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;550;397;16;941746849;22504058;539551474;2398379;91895299
crop_2021_06_02_Lujeune_MitoSox_L7 - Series001.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;626;140;29;580826434;9646453;220293248;684557;26987543
crop_2021_06_02_Lujeune_MitoSox_L7 - Series002.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;590;106;22;1096226374;27618350;746544377;5400030;239757032
crop_2021_06_02_Lujeune_MitoSox_L7 - Series003.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;383;99;5;950259762;26849493;723719624;5704695;233788427
crop_2021_06_02_Lujeune_MitoSox_L7 - Series004.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;525;160;23;1512048804;41689565;1197194259;10866371;476216255
crop_2021_06_02_Lujeune_MitoSox_L7 - Series005.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;539;65;24;1042749288;26794073;726067762;5745054;241373568
crop_2021_06_02_Lujeune_MitoSox_L7 - Series006.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;439;78;9;467974445;8434679;206863135;914556;43436535
crop_2021_06_02_Lujeune_MitoSox_L8 - Series001.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;500;52;20;1319311406;36556410;1177668116;14116482;637522618
crop_2021_06_02_Lujeune_MitoSox_L8 - Series002.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;603;205;35;723683519;17131270;467565126;3876501;161926654
crop_2021_06_02_Lujeune_MitoSox_L8 - Series003.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;421;124;14;527365037;12389340;336934151;2677534;114096378
crop_2021_06_02_Lujeune_MitoSox_L8 - Series004.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;727;67;37;909468962;21685074;574244850;4349486;177666200
crop_2021_06_02_Lujeune_MitoSox_L8 - Series005.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;668;300;21;1411122993;37868770;1117547344;10543958;475772388
crop_2021_06_02_Lujeune_MitoSox_L8 - Series006.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;503;80;8;444715921;7859712;177855722;506735;19221233
crop_2021_06_02_Lujeune_MitoSox_L9 - Mark_and_Find 001_Position001.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;519;258;19;698234343;14317326;354431324;1827206;77780855
crop_2021_06_02_Lujeune_MitoSox_L9 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;571;156;65;838840871;18590450;467373522;2773531;112737485
crop_2021_06_02_Lujeune_MitoSox_L9 - Mark_and_Find 001_Position003.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;503;324;28;549731748;8641740;198710989;601620;26044061
crop_2021_06_02_Lujeune_MitoSox_L9 - Mark_and_Find 001_Position004.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;616;99;33;858387949;19561570;507125456;3467056;143116146
crop_2021_06_02_Lujeune_MitoSox_L9 - Mark_and_Find 001_Position005.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;495;309;37;1067233206;26323015;659543119;3900146;154094814
crop_2021_06_02_Luvieux_MitoSox_L1 - Mark_and_Find 001_Position001.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;342;340;1;403199748;6226333;142158995;431151;18264948
crop_2021_06_02_Luvieux_MitoSox_L1 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;613;180;24;343784168;3451842;93384721;540055;31977629
crop_2021_06_02_Luvieux_MitoSox_L1 - Mark_and_Find 001_Position003.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;424;37;71;194842016;1610882;34373721;55007;2205240
crop_2021_06_02_Luvieux_MitoSox_L1 - Mark_and_Find 001_Position005.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;447;104;13;314205260;3942508;90030546;254225;11999593
crop_2021_06_02_Luvieux_MitoSox_L1 - Mark_and_Find 001_Position006.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;328;200;107;191920836;1328097;27877180;36329;1488165
crop_2021_06_02_Luvieux_MitoSox_L1 - Mark_and_Find 001_Position007.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;699;129;106;368935643;4275065;93273010;187496;7320034
crop_2021_06_02_Luvieux_MitoSox_L1 - Mark_and_Find 001_Position008.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;549;161;70;334569761;4965173;113625935;354238;14483461
crop_2021_06_02_Luvieux_MitoSox_L10 - Mark_and_Find 001_Position001.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;492;870;25;726865020;14487711;351588885;1586748;68143214
crop_2021_06_02_Luvieux_MitoSox_L10 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;40;1100;3;1;11.856;10;4;0;809;215;87;1217816390;28767574;740264325;4929104;200158713
crop_2021_06_02_Luvieux_MitoSox_L10 - Mark_and_Find 001_Position003.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;40;1100;3;1;11.856;10;4;0;730;682;134;1160036101;26168681;630525591;2869594;113546472
crop_2021_06_02_Luvieux_MitoSox_L10 - Mark_and_Find 001_Position004.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;40;1100;3;1;11.856;10;4;0;699;109;66;1726676733;46863867;1477233626;17921440;778515844
crop_2021_06_02_Luvieux_MitoSox_L10 - Mark_and_Find 001_Position005.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;544;320;9;1516586004;39810072;1340738752;18244485;812989856
crop_2021_06_02_Luvieux_MitoSox_L10 - Mark_and_Find 001_Position006.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;40;1100;3;1;11.856;10;4;0;913;135;66;2.7399E9;72138183;2.5370E9;36506750;1657109827
crop_2021_06_02_Luvieux_MitoSox_L2 - Mark_and_Find 001_Position001.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;50;1100;3;1;14.82;10;5;0;822;841;189;277090622;1539330;34701244;121852;5347096
crop_2021_06_02_Luvieux_MitoSox_L2 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;40;1100;3;1;11.856;10;4;0;438;1932;110;272943614;1656349;36565570;105156;4607828
crop_2021_06_02_Luvieux_MitoSox_L2 - Mark_and_Find 001_Position003.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;50;1100;3;1;14.82;10;5;0;1009;467;161;380238854;2905513;63722911;150845;6604042
crop_2021_06_02_Luvieux_MitoSox_L2 - Mark_and_Find 001_Position004.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;50;1100;3;1;14.82;10;5;0;1022;214;166;298994276;1504050;30955346;29522;1121377
crop_2021_06_02_Luvieux_MitoSox_L2 - Mark_and_Find 002_Position005.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;50;1100;3;1;14.82;10;5;0;940;550;104;1204385103;24670652;589796703;2548586;102346442
crop_2021_06_02_Luvieux_MitoSox_L2 - Mark_and_Find 002_Position006.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;40;1100;3;1;11.856;10;4;0;894;251;50;1808673252;50865029;1331745233;9606399;380967504
crop_2021_06_02_Luvieux_MitoSox_L3 - Mark_and_Find 001_Position001.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;200;416;24;101125237;462881;9732551;14706;623574
crop_2021_06_02_Luvieux_MitoSox_L3 - Mark_and_Find 002_Position003.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;784;179;24;1481744135;42270897;1150800534;9149032;381498058
crop_2021_06_02_Luvieux_MitoSox_L3 - Mark_and_Find 002_Position004.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;40;1100;3;1;11.856;10;4;0;1016;142;152;885872887;15117906;359141092;1246749;60590559
crop_2021_06_02_Luvieux_MitoSox_L3 - Mark_and_Find 002_Position005.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;764;94;63;717869304;11821334;292059006;1215139;64544738
crop_2021_06_02_Luvieux_MitoSox_L3 - Mark_and_Find 002_Position006.tif;microns;0.05858;0.05858;0.2964;1576;1576;1;1;47;1100;3;1;13.9308;10;4;7;1048;196;141;1938472012;40025278;1488154433;14282843;898144360
crop_2021_06_02_Luvieux_MitoSox_L3 - Mark_and_Find 002_Position007.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;744;244;23;638160262;11150237;253701866;756290;29714864
crop_2021_06_02_Luvieux_MitoSox_L3 - Mark_and_Find 002_Position008.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;728;65;35;447527630;5172245;112199648;216689;8442038
crop_2021_06_02_Luvieux_MitoSox_L4 - Mark_and_Find 001_Position001.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;40;1100;3;0;12.008;10;4;0;878;695;45;1190605648;26965663;652560954;2977290;120752250
crop_2021_06_02_Luvieux_MitoSox_L4 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;40;1100;3;0;12.008;10;4;0;1027;275;36;1207198167;25939757;627637061;2704396;116969437
crop_2021_06_02_Luvieux_MitoSox_L4 - Mark_and_Find 001_Position003.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;40;1100;3;0;12.008;10;4;0;1023;170;31;808752584;12395367;277128009;697914;28135669
crop_2021_06_02_Luvieux_MitoSox_L4 - Mark_and_Find 001_Position004.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;748;170;21;685628592;11591733;261702851;725511;28766520
crop_2021_06_02_Luvieux_MitoSox_L4 - Mark_and_Find 001_Position005.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;553;112;27;511001643;9775106;228328801;860310;34326507
crop_2021_06_02_Luvieux_MitoSox_L4 - Mark_and_Find 001_Position006.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;756;260;37;851750267;17438530;430059635;2090163;92966624
crop_2021_06_02_Luvieux_MitoSox_L4 - Mark_and_Find 001_Position007.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;758;107;22;372336211;3781667;82570415;172601;7083184
crop_2021_06_02_Luvieux_MitoSox_L5 - Mark_and_Find 001_Position001.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;546;407;42;370579106;3812151;86070990;211593;10495545
crop_2021_06_02_Luvieux_MitoSox_L5 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;453;104;10;284156110;3624751;83308649;258852;11823730
crop_2021_06_02_Luvieux_MitoSox_L5 - Mark_and_Find 001_Position003.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;412;322;4;492002132;10556499;258817505;1306357;53356879
crop_2021_06_02_Luvieux_MitoSox_L5 - Mark_and_Find 001_Position004.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;671;207;10;664893341;11981804;275997418;934219;36405578
crop_2021_06_02_Luvieux_MitoSox_L5 - Mark_and_Find 001_Position007.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;717;133;79;779649318;16192846;395303966;2033637;81487185
crop_2021_06_02_Luvieux_MitoSox_L5 - Mark_and_Find 002_Position005.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;632;395;12;673383676;11652440;270695784;943206;39870891
crop_2021_06_02_Luvieux_MitoSox_L5 - Mark_and_Find 002_Position006.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;687;148;17;663224301;11314339;256130987;743750;28575344
crop_2021_06_02_Luvieux_MitoSox_L6 - Mark_and_Find 001_Position001.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;682;122;25;643902062;10946333;280407288;1542512;76136604
crop_2021_06_02_Luvieux_MitoSox_L6 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;673;294;107;778480397;15376416;372520201;1744200;73108468
crop_2021_06_02_Luvieux_MitoSox_L6 - Mark_and_Find 001_Position003.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;480;61;28;565674735;11633302;272633110;1031430;41175175
crop_2021_06_02_Luvieux_MitoSox_L6 - Mark_and_Find 001_Position004.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;572;240;90;753471965;14873075;352451103;1471343;58469588
crop_2021_06_02_Luvieux_MitoSox_L6 - Mark_and_Find 001_Position005.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;659;88;31;589315284;9332397;212514316;650191;26328033
crop_2021_06_02_Luvieux_MitoSox_L6 - Mark_and_Find 001_Position006.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;695;138;58;815699238;17066469;413344701;1855470;78619203
crop_2021_06_02_Luvieux_MitoSox_L6 - Mark_and_Find 001_Position007.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;642;274;3;770604404;14785939;366488564;1693512;81232381
crop_2021_06_02_Luvieux_MitoSox_L7 - Mark_and_Find 001_Position001.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;20;1100;3;0;6.004;10;2;0;467;66;8;533032533;11015361;273883910;1448613;62589625
crop_2021_06_02_Luvieux_MitoSox_L7 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;10;1100;3;1;2.964;10;1;0;158;217;0;283828564;5985597;140712079;552180;21367605
crop_2021_06_02_Luvieux_MitoSox_L7 - Mark_and_Find 001_Position003.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;442;142;19;668852850;15913017;395533041;2178359;87820336
